year,country,value,value2
2012,Canada, 33.76 ,100
2013,Canada,35.13,104.0580569
2014,Canada, 36.76 ,108.8862559
2015,Canada, 35.56 ,105.3317536
2016,Canada, 36.96 ,109.478673
2017,Canada, 38.12 ,112.9146919
2018,Canada, 39.25 ,116.2618483
2019,Canada, 38.89 ,115.1954976
2020,Canada, 42.15 ,124.8518957
2021,Canada, 42.94 ,127.1919431
2012,France, 41.51 ,100
2013,France, 43.70 ,105.2758371
2014,France, 44.81 ,107.9498916
2015,France, 45.24 ,108.9857866
2016,France, 47.00 ,113.2257287
2017,France, 48.58 ,117.0320405
2018,France, 50.40 ,121.4165261
2019,France, 52.49 ,126.4514575
2020,France, 55.14 ,132.8354613
2021,France, 55.50 ,133.7027222
2012,Germany, 41.36 ,100
2013,Germany, 42.66 ,103.1431335
2014,Germany, 44.45 ,107.4709865
2015,Germany, 44.58 ,107.7852998
2016,Germany, 47.07 ,113.8056093
2017,Germany, 48.86 ,118.1334623
2018,Germany, 50.80 ,122.8239845
2019,Germany, 51.21 ,123.8152805
2020,Germany, 53.63 ,129.6663443
2021,Germany, 55.83 ,134.9854932
2012,Italy, 35.48 ,100
2013,Italy, 36.35 ,102.4520857
2014,Italy, 36.76 ,103.6076663
2015,Italy, 36.86 ,103.8895152
2016,Italy, 38.96 ,109.8083427
2017,Italy, 39.88 ,112.4013529
2018,Italy,41.00,115.5580609
2019,Italy, 41.81 ,117.8410372
2020,Italy, 44.76 ,126.1555806
2021,Italy, 45.33 ,127.7621195
2012,Japan, 29.74 ,100
2013,Japan, 30.91 ,103.9340955
2014,Japan, 31.08 ,104.5057162
2015,Japan, 31.97 ,107.4983188
2016,Japan, 31.35 ,105.4135844
2017,Japan, 31.55 ,106.0860794
2018,Japan, 32.15 ,108.1035642
2019,Japan, 32.66 ,109.8184264
2020,Japan, 33.57 ,112.8782784
2021,Japan,null,null
2012,UK, 37.68 ,100
2013,UK, 38.69 ,102.6804671
2014,UK, 39.28 ,104.2462845
2015,UK, 40.26 ,106.8471338
2016,UK, 40.87 ,108.4660297
2017,UK, 42.35 ,112.3938429
2018,UK, 43.29 ,114.888535
2019,UK, 44.41 ,117.8609342
2020,UK, 47.58 ,126.2738854
2021,UK, 46.92 ,124.522293
2012,United States, 45.65 ,100
2013,United States,46.23,101.2705367
2014,United States, 47.48 ,104.0087623
2015,United States, 47.82 ,104.7535597
2016,United States, 48.17 ,105.5202629
2017,United States, 49.24 ,107.864184
2018,United States, 51.22 ,112.2015334
2019,United States, 52.80 ,115.6626506
2020,United States, 55.38 ,121.3143483
2021,United States, 58.88 ,128.9813801
