date,country,value1,value2,value3,value4
2013,Germany,51.90,29.83,35.84,19.03
2014,Germany,52.61,29.11,36.44,18.89
2015,Germany,53.39,28.62,37.49,18.90
2016,Germany,60.46,33.36,44.26,22.04
2017,Germany,73.26,37.23,52.16,24.44
2018,Germany,81.09,38.59,54.00,25.30
2019,Germany,80.21,40.65,57.72,26.74
2020,Germany,86.12,42.28,63.07,35.23
2021,Germany,96.20,45.06,69.22,33.68
2022,Germany,112.94,47.40,77.92,34.06
2023,Germany,106.31,50.81,70.25,33.05
2013,United States,35.11,38.67,50.91,36.39
2014,United States,34.96,37.46,53.79,36.48
2015,United States,39.61,40.47,66.04,41.22
2016,United States,42.99,45.79,79.77,48.67
2017,United States,46.78,49.24,87.78,54.80
2018,United States,48.16,50.54,102.80,58.14
2019,United States,54.74,54.51,117.81,65.00
2020,United States,52.94,52.49,128.42,78.79
2021,United States,68.03,55.08,130.12,71.80
2022,United States,82.74,64.41,162.02,90.07
2023,United States,90.47,67.99,172.52,85.29
2013,Italy,17.38,7.45,19.14,6.82
2014,Italy,17.57,7.34,17.48,6.73
2015,Italy,15.10,7.03,17.48,6.48
2016,Italy,18.20,8.28,20.17,7.57
2017,Italy,23.00,9.38,23.23,8.42
2018,Italy,24.04,9.65,25.79,8.85
2019,Italy,29.75,10.16,27.65,9.40
2020,Italy,31.40,9.56,28.63,13.23
2021,Italy,29.92,10.74,28.62,10.96
2022,Italy,42.34,12.05,36.01,11.22
2023,Italy,44.26,12.90,36.37,11.96
2013,France,26.03,9.24,21.56,12.11
2014,France,23.44,8.57,21.47,11.39
2015,France,21.47,8.15,18.84,11.17
2016,France,24.22,9.41,20.31,13.16
2017,France,27.85,10.28,24.12,14.33
2018,France,28.85,10.90,24.82,14.22
2019,France,31.40,11.35,25.78,15.43
2020,France,32.92,11.16,28.58,21.25
2021,France,33.06,11.14,30.19,17.75
2022,France,35.77,11.98,32.49,18.49
2023,France,34.90,12.71,34.24,18.28
2013,UK,22.12,7.52,21.02,9.02
2014,UK,22.05,7.58,23.49,9.56
2015,UK,25.09,7.69,24.53,9.83
2016,UK,25.65,8.29,26.65,10.62
2017,UK,27.57,9.13,28.86,11.32
2018,UK,25.13,9.53,26.47,11.72
2019,UK,24.41,10.06,25.62,12.79
2020,UK,22.73,10.09,23.93,20.73
2021,UK,22.30,10.01,22.39,17.18
2022,UK,25.85,9.64,30.36,16.17
2023,UK,25.63,10.13,24.85,15.51
2013,Japan,4.83,6.85,16.82,11.81
2014,Japan,4.37,6.62,15.52,11.16
2015,Japan,4.78,7.15,18.53,11.12
2016,Japan,5.87,8.48,22.21,13.45
2017,Japan,9.49,9.56,23.12,14.57
2018,Japan,9.94,9.80,25.27,15.11
2019,Japan,11.01,10.29,26.96,16.47
2020,Japan,11.70,9.83,27.95,18.84
2021,Japan,12.09,9.93,32.84,16.45
2022,Japan,13.05,10.47,38.96,19.73
2023,Japan,12.11,10.17,31.03,6.12
2013,Canada,3.53,2.49,8.69,6.29
2014,Canada,4.38,2.48,8.66,6.06
2015,Canada,5.15,2.67,8.82,6.36
2016,Canada,6.30,3.18,9.72,6.88
2017,Canada,5.30,3.51,11.18,7.59
2018,Canada,6.31,3.52,11.66,7.66
2019,Canada,7.10,3.83,13.18,8.17
2020,Canada,6.95,3.89,13.23,10.52
2021,Canada,7.54,3.98,15.53,9.56
2022,Canada,9.47,4.59,18.89,11.41
2023,Canada,8.34,4.39,17.66,10.65
