country,series,date,value
Germany,1,2013,51.90
Germany,1,2014,52.61
Germany,1,2015,53.39
Germany,1,2016,60.46
Germany,1,2017,73.26
Germany,1,2018,81.09
Germany,1,2019,80.21
Germany,1,2020,86.12
Germany,1,2021,96.20
Germany,1,2022,112.94
Germany,1,2023,106.31
United States,1,2013,35.11
United States,1,2014,34.96
United States,1,2015,39.61
United States,1,2016,42.99
United States,1,2017,46.78
United States,1,2018,48.16
United States,1,2019,54.74
United States,1,2020,52.94
United States,1,2021,68.03
United States,1,2022,82.74
United States,1,2023,90.47
Italy,1,2013,17.38
Italy,1,2014,17.57
Italy,1,2015,15.10
Italy,1,2016,18.20
Italy,1,2017,23.00
Italy,1,2018,24.04
Italy,1,2019,29.75
Italy,1,2020,31.40
Italy,1,2021,29.92
Italy,1,2022,42.34
Italy,1,2023,44.26
France,1,2013,26.03
France,1,2014,23.44
France,1,2015,21.47
France,1,2016,24.22
France,1,2017,27.85
France,1,2018,28.85
France,1,2019,31.40
France,1,2020,32.92
France,1,2021,33.06
France,1,2022,35.77
France,1,2023,34.90
UK,1,2013,22.12
UK,1,2014,22.05
UK,1,2015,25.09
UK,1,2016,25.65
UK,1,2017,27.57
UK,1,2018,25.13
UK,1,2019,24.41
UK,1,2020,22.73
UK,1,2021,22.30
UK,1,2022,25.85
UK,1,2023,25.63
Japan,1,2013,4.83
Japan,1,2014,4.37
Japan,1,2015,4.78
Japan,1,2016,5.87
Japan,1,2017,9.49
Japan,1,2018,9.94
Japan,1,2019,11.01
Japan,1,2020,11.70
Japan,1,2021,12.09
Japan,1,2022,13.05
Japan,1,2023,12.11
Canada,1,2013,3.53
Canada,1,2014,4.38
Canada,1,2015,5.15
Canada,1,2016,6.30
Canada,1,2017,5.30
Canada,1,2018,6.31
Canada,1,2019,7.10
Canada,1,2020,6.95
Canada,1,2021,7.54
Canada,1,2022,9.47
Canada,1,2023,8.34
Germany,2,2013,29.83
Germany,2,2014,29.11
Germany,2,2015,28.62
Germany,2,2016,33.36
Germany,2,2017,37.23
Germany,2,2018,38.59
Germany,2,2019,40.65
Germany,2,2020,42.28
Germany,2,2021,45.06
