year,region,value
2004-01-01,Cornwall,4
2004-04-01,Cornwall,4.1
2004-07-01,Cornwall,4.1
2004-10-01,Cornwall,3.9
2005-01-01,Cornwall,3.9
2005-04-01,Cornwall,3.9
2005-07-01,Cornwall,4.2
2005-10-01,Cornwall,4.3
2006-01-01,Cornwall,4
2006-04-01,Cornwall,4.1
2006-07-01,Cornwall,4
2006-10-01,Cornwall,4.1
2007-01-01,Cornwall,4.3
2007-04-01,Cornwall,4
2007-07-01,Cornwall,4.2
2007-10-01,Cornwall,4.1
2008-01-01,Cornwall,4.4
2008-04-01,Cornwall,4.9
2008-07-01,Cornwall,5.3
2008-10-01,Cornwall,5.7
2009-01-01,Cornwall,5.7
2009-04-01,Cornwall,5.7
2009-07-01,Cornwall,6.1
2009-10-01,Cornwall,6
2010-01-01,Cornwall,6.6
2010-04-01,Cornwall,6.7
2010-07-01,Cornwall,6.4
2010-10-01,Cornwall,6.3
2011-01-01,Cornwall,6.4
2011-04-01,Cornwall,6.4
2011-07-01,Cornwall,6.3
2011-10-01,Cornwall,6.1
2012-01-01,Cornwall,5.9
2012-04-01,Cornwall,6.3
2012-07-01,Cornwall,6.1
2012-10-01,Cornwall,6.1
2013-01-01,Cornwall,6
2013-04-01,Cornwall,5.3
2013-07-01,Cornwall,5.4
2013-10-01,Cornwall,5.2
2014-01-01,Cornwall,5.2
2014-04-01,Cornwall,4.9
2014-07-01,Cornwall,4.2
2014-10-01,Cornwall,4.2
2015-01-01,Cornwall,4
2015-04-01,Cornwall,4.3
2015-07-01,Cornwall,4.4
2015-10-01,Cornwall,4.3
2016-01-01,Cornwall,4.1
2016-04-01,Cornwall,3.7
2016-07-01,Cornwall,3.5
2016-10-01,Cornwall,3.3
2017-01-01,Cornwall,3.1
2017-04-01,Cornwall,3.2
2017-07-01,Cornwall,3.1
2017-10-01,Cornwall,2.7
2018-01-01,Cornwall,2.8
2018-04-01,Cornwall,2.7
2018-07-01,Cornwall,2.9
2018-10-01,Cornwall,3.3
2019-01-01,Cornwall,3.1
2019-04-01,Cornwall,3.1
2019-07-01,Cornwall,3.2
2019-10-01,Cornwall,3.4
2020-01-01,Cornwall,4
2020-04-01,Cornwall,4.3
2020-07-01,Cornwall,4
2020-10-01,Cornwall,3.9
2021-01-01,Cornwall,3.5
2021-04-01,Cornwall,3.1
2021-07-01,Cornwall,2.9
2021-10-01,Cornwall,2.8
2022-01-01,Cornwall,2.9
2022-04-01,Cornwall,2.8
2022-07-01,Cornwall,3.1
2022-10-01,Cornwall,2.9
2023-01-01,Cornwall,2.7
2023-04-01,Cornwall,2.6
2023-07-01,Cornwall,2.6
2023-10-01,Cornwall,3
2004-01-01,South West,3.4
2004-04-01,South West,3.5
2004-07-01,South West,3.5
2004-10-01,South West,3.4
2005-01-01,South West,3.4
2005-04-01,South West,3.4
2005-07-01,South West,3.7
2005-10-01,South West,3.8
2006-01-01,South West,3.7
2006-04-01,South West,3.8
2006-07-01,South West,3.7
2006-10-01,South West,3.7
2007-01-01,South West,3.9
2007-04-01,South West,3.7
2007-07-01,South West,3.7
2007-10-01,South West,3.8
2008-01-01,South West,4.1
2008-04-01,South West,4.5
2008-07-01,South West,5.3
2008-10-01,South West,5.8
2009-01-01,South West,6.2
2009-04-01,South West,6.2
2009-07-01,South West,6.1
2009-10-01,South West,5.9
2010-01-01,South West,5.9
2010-04-01,South West,6
2010-07-01,South West,5.9
2010-10-01,South West,6
2011-01-01,South West,6
2011-04-01,South West,6.1
2011-07-01,South West,6.2
2011-10-01,South West,5.9
2012-01-01,South West,5.8
2012-04-01,South West,5.9
2012-07-01,South West,5.7
2012-10-01,South West,5.9
2013-01-01,South West,5.8
2013-04-01,South West,5.3
2013-07-01,South West,5.5
2013-10-01,South West,5.3
2014-01-01,South West,5.1
2014-04-01,South West,4.8
2014-07-01,South West,4.3
2014-10-01,South West,4.1
2015-01-01,South West,3.9
2015-04-01,South West,4
2015-07-01,South West,4.1
2015-10-01,South West,4.1
2016-01-01,South West,4.1
2016-04-01,South West,3.8
2016-07-01,South West,3.7
2016-10-01,South West,3.5
2017-01-01,South West,3.3
2017-04-01,South West,3.3
2017-07-01,South West,3.2
2017-10-01,South West,2.9
2018-01-01,South West,3.1
2018-04-01,South West,3
2018-07-01,South West,3.1
2018-10-01,South West,3.3
2019-01-01,South West,3.1
2019-04-01,South West,3.1
2019-07-01,South West,3.2
2019-10-01,South West,3.5
2020-01-01,South West,3.9
2020-04-01,South West,3.9
2020-07-01,South West,3.8
2020-10-01,South West,3.7
2021-01-01,South West,3.3
2021-04-01,South West,2.8
2021-07-01,South West,2.7
2021-10-01,South West,2.7
2022-01-01,South West,2.6
2022-04-01,South West,2.7
2022-07-01,South West,2.9
2022-10-01,South West,2.5
2023-01-01,South West,2.5
2023-04-01,South West,2.5
2023-07-01,South West,2.2
2023-10-01,South West,2.6
2004-01-01,UK,4.8
2004-04-01,UK,4.7
2004-07-01,UK,4.8
2004-10-01,UK,4.8
2005-01-01,UK,4.9
2005-04-01,UK,5.1
2005-07-01,UK,5.3
2005-10-01,UK,5.4
2006-01-01,UK,5.4
2006-04-01,UK,5.3
2006-07-01,UK,5.3
2006-10-01,UK,5.2
2007-01-01,UK,5.2
2007-04-01,UK,5.2
2007-07-01,UK,5.2
2007-10-01,UK,5.3
2008-01-01,UK,5.7
2008-04-01,UK,6.2
2008-07-01,UK,6.8
2008-10-01,UK,7.3
2009-01-01,UK,7.7
2009-04-01,UK,7.9
2009-07-01,UK,7.7
2009-10-01,UK,7.7
2010-01-01,UK,7.6
2010-04-01,UK,7.6
2010-07-01,UK,7.8
2010-10-01,UK,7.9
2011-01-01,UK,8
2011-04-01,UK,8.1
2011-07-01,UK,8.1
2011-10-01,UK,8
2012-01-01,UK,7.9
2012-04-01,UK,7.8
2012-07-01,UK,7.8
2012-10-01,UK,7.8
2013-01-01,UK,7.5
2013-04-01,UK,7.2
2013-07-01,UK,6.9
2013-10-01,UK,6.5
2014-01-01,UK,6.2
2014-04-01,UK,6
2014-07-01,UK,5.6
2014-10-01,UK,5.4
2015-01-01,UK,5.2
2015-04-01,UK,5.1
2015-07-01,UK,5.1
2015-10-01,UK,4.9
2016-01-01,UK,4.8
2016-04-01,UK,4.7
2016-07-01,UK,4.6
2016-10-01,UK,4.5
2017-01-01,UK,4.4
2017-04-01,UK,4.3
2017-07-01,UK,4.2
2017-10-01,UK,4.2
2018-01-01,UK,4.2
2018-04-01,UK,4.1
2018-07-01,UK,4.1
2018-10-01,UK,3.9
2019-01-01,UK,3.9
2019-04-01,UK,3.9
2019-07-01,UK,3.9
2019-10-01,UK,4.2
2020-01-01,UK,4.7
2020-04-01,UK,4.9
2020-07-01,UK,5
2020-10-01,UK,4.8
2021-01-01,UK,4.4
2021-04-01,UK,4.1
2021-07-01,UK,3.8
2021-10-01,UK,3.7
2022-01-01,UK,3.6
2022-04-01,UK,3.6
2022-07-01,UK,3.8
2022-10-01,UK,3.7
2023-01-01,UK,3.7
2023-04-01,UK,3.9
2023-07-01,UK,3.7
2023-10-01,UK,3.7
